year_week,week_index,year,pollutant,value,threshold_pc75,exposed,incomplete_year_2023,partial_W52_2025
2025-W36,123,2025,PM10,20.357142857142858,33.363,0,0,0
2025-W37,124,2025,PM10,20.762857142857143,33.363,0,0,0
2025-W38,125,2025,PM10,20.25,33.363,0,0,0
2025-W39,126,2025,PM10,19.66714285714286,33.363,0,0,0
2025-W40,127,2025,PM10,41.32142857142857,33.363,1,0,0
2025-W41,128,2025,PM10,44.5,33.363,1,0,0
2025-W42,129,2025,PM10,30.571428571428573,33.363,0,0,0
2025-W43,130,2025,PM10,24.392857142857142,33.363,0,0,0
2025-W44,131,2025,PM10,30.535714285714285,33.363,0,0,0
2025-W45,132,2025,PM10,51.035714285714285,33.363,1,0,0
2025-W46,133,2025,PM10,26.285714285714285,33.363,0,0,0
2025-W47,134,2025,PM10,27.321428571428573,33.363,0,0,0
2025-W48,135,2025,PM10,41.10714285714285,33.363,1,0,0
2025-W49,136,2025,PM10,47.21428571428572,33.363,1,0,0
2025-W50,137,2025,PM10,37.892857142857146,33.363,1,0,0
2025-W51,138,2025,PM10,25.428571428571427,33.363,0,0,0
2025-W52,139,2025,PM10,55.142857142857146,33.363,1,0,1
2026-W01,140,2026,PM10,61.96428571428572,43.304,1,0,0
2026-W02,141,2026,PM10,41.642857142857146,43.304,0,0,0
2026-W03,142,2026,PM10,48.285714285714285,43.304,1,0,0
2026-W04,143,2026,PM10,41.0,43.304,0,0,0
2026-W05,144,2026,PM10,34.75,43.304,0,0,0
2026-W06,145,2026,PM10,29.75,43.304,0,0,0
2026-W07,146,2026,PM10,24.964285714285715,43.304,0,0,0
2026-W08,147,2026,PM10,23.357142857142858,43.304,0,0,0
2026-W09,148,2026,PM10,49.35714285714285,43.304,1,0,0
2026-W10,149,2026,PM10,52.57142857142857,43.304,1,0,0
2026-W11,150,2026,PM10,41.42857142857143,43.304,0,0,0
2026-W12,151,2026,PM10,22.5,43.304,0,0,0
2026-W13,152,2026,PM10,22.071428571428573,43.304,0,0,0
2026-W14,153,2026,PM10,20.01142857142857,43.304,0,0,0
2026-W15,154,2026,PM10,23.952857142857145,43.304,0,0,0
2026-W16,155,2026,PM10,25.88142857142857,43.304,0,0,0
