pollutant,outcome,year,lag,n_iter,mean_r,sd_r,mean_p,Vul,Rc,Rc_CI_low,Rc_CI_high,Rc_class
PM10,pneumonia,2025,1,1000,0.7022,0.1104,0.8092,0.7538,0.7538,0.5632,0.9121,Moderate-high
PM10,pneumonia,2025,2,1000,0.4783,0.1186,0.9101,0.4635,0.4635,0.1999,0.7583,Negligible
PM10,pneumonia,2026,0,1000,0.5963,0.2253,0.9043,0.6527,0.6527,0.0,1.0,Moderate-low
PM10,pneumonia,2026,1,1000,0.6572,0.2176,0.8937,0.7549,0.7549,0.1754,1.0,Moderate-high
PM10,pneumonia,2026,2,1000,0.5499,0.2403,0.9056,0.5781,0.5781,0.0,1.0,Very low
PM10,respiratory_disease,2023,0,1000,0.8666,0.087,0.7253,0.8867,0.8867,0.7151,1.0,Very high
PM10,respiratory_disease,2023,1,1000,0.672,0.1365,0.8569,0.7429,0.7429,0.3957,0.9382,Moderate
PM10,respiratory_disease,2023,2,1000,0.3273,0.1375,0.855,0.2593,0.2593,0.0643,0.6198,Moderate
PM10,respiratory_disease,2024,0,1000,0.3713,0.1204,0.8605,0.3112,0.3112,0.1333,0.6497,Moderate-low
PM10,respiratory_disease,2024,1,1000,0.3723,0.1187,0.8643,0.306,0.306,0.1096,0.6088,Moderate-low
PM10,respiratory_disease,2024,2,1000,0.3482,0.1217,0.8449,0.2844,0.2844,0.0971,0.594,Moderate
PM10,respiratory_disease,2025,0,1000,0.6104,0.1191,0.8747,0.6731,0.6731,0.349,0.8752,Moderate-low
PM10,respiratory_disease,2025,1,1000,0.6328,0.1182,0.8604,0.6958,0.6958,0.3784,0.8791,Moderate-low
PM10,respiratory_disease,2025,2,1000,0.5495,0.1282,0.896,0.5935,0.5935,0.2752,0.8544,Very low
PM10,respiratory_disease,2026,0,1000,0.4968,0.2374,0.9092,0.4704,0.4704,0.0,0.9149,Negligible
PM10,respiratory_disease,2026,1,1000,0.4543,0.2339,0.9063,0.4347,0.4347,0.0,1.0,Very low
PM10,respiratory_disease,2026,2,1000,0.5295,0.2299,0.9119,0.5583,0.5583,0.0,1.0,Very low
PM2.5,ILI,2023,0,1000,0.8645,0.0861,0.7282,0.8844,0.8844,0.7095,0.9869,Very high
PM2.5,ILI,2023,1,1000,0.727,0.1386,0.8232,0.7949,0.7949,0.5533,0.9836,Moderate-high
PM2.5,ILI,2023,2,1000,0.3179,0.1394,0.8513,0.2465,0.2465,0.0515,0.5923,Moderate-high
PM2.5,ILI,2024,0,1000,0.4602,0.128,0.9039,0.4222,0.4222,0.1384,0.7496,Very low
PM2.5,ILI,2024,1,1000,0.3049,0.1103,0.8233,0.2518,0.2518,0.0914,0.4362,Moderate
PM2.5,ILI,2024,2,1000,0.3864,0.1264,0.8737,0.3212,0.3212,0.108,0.6456,Moderate-low
PM2.5,ILI,2025,0,1000,0.5849,0.1251,0.8844,0.6425,0.6425,0.302,0.8622,Low
