pollutant,outcome,lag,week_index,year_week,note
NO2,respiratory_disease,0,30,2023-W47,baseline expanded to +/-4
NO2,respiratory_disease,0,31,2023-W48,baseline expanded to +/-5
NO2,respiratory_disease,0,32,2023-W49,baseline expanded to +/-5
NO2,respiratory_disease,0,33,2023-W50,no baseline available even at +/-5
NO2,respiratory_disease,0,34,2023-W51,no baseline available even at +/-5
NO2,respiratory_disease,0,35,2023-W52,no baseline available even at +/-5
NO2,respiratory_disease,0,36,2024-W01,no baseline available even at +/-5
NO2,respiratory_disease,0,37,2024-W02,no baseline available even at +/-5
NO2,respiratory_disease,0,38,2024-W03,baseline expanded to +/-5
NO2,respiratory_disease,0,39,2024-W04,baseline expanded to +/-4
NO2,respiratory_disease,0,40,2024-W05,baseline expanded to +/-4
NO2,respiratory_disease,0,82,2024-W47,baseline expanded to +/-4
NO2,respiratory_disease,0,83,2024-W48,baseline expanded to +/-4
NO2,respiratory_disease,0,84,2024-W49,baseline expanded to +/-4
NO2,respiratory_disease,0,86,2024-W51,baseline expanded to +/-4
NO2,respiratory_disease,0,87,2024-W52,baseline expanded to +/-4
NO2,respiratory_disease,0,88,2025-W01,baseline expanded to +/-5
NO2,respiratory_disease,0,133,2025-W46,baseline expanded to +/-5
NO2,respiratory_disease,0,134,2025-W47,baseline expanded to +/-4
NO2,respiratory_disease,0,137,2025-W50,baseline expanded to +/-4
NO2,respiratory_disease,0,138,2025-W51,no baseline available even at +/-5
NO2,respiratory_disease,0,139,2025-W52,baseline expanded to +/-5
NO2,respiratory_disease,0,140,2026-W01,baseline expanded to +/-4
NO2,respiratory_disease,1,30,2023-W47,baseline expanded to +/-4
NO2,respiratory_disease,1,31,2023-W48,baseline expanded to +/-5
NO2,respiratory_disease,1,32,2023-W49,baseline expanded to +/-5
NO2,respiratory_disease,1,33,2023-W50,no baseline available even at +/-5
NO2,respiratory_disease,1,34,2023-W51,no baseline available even at +/-5
NO2,respiratory_disease,1,35,2023-W52,no baseline available even at +/-5
NO2,respiratory_disease,1,36,2024-W01,no baseline available even at +/-5
NO2,respiratory_disease,1,37,2024-W02,no baseline available even at +/-5
NO2,respiratory_disease,1,38,2024-W03,baseline expanded to +/-5
NO2,respiratory_disease,1,39,2024-W04,baseline expanded to +/-4
NO2,respiratory_disease,1,40,2024-W05,baseline expanded to +/-4
NO2,respiratory_disease,1,82,2024-W47,baseline expanded to +/-4
NO2,respiratory_disease,1,83,2024-W48,baseline expanded to +/-4
NO2,respiratory_disease,1,84,2024-W49,baseline expanded to +/-4
NO2,respiratory_disease,1,86,2024-W51,baseline expanded to +/-4
NO2,respiratory_disease,1,87,2024-W52,baseline expanded to +/-4
NO2,respiratory_disease,1,88,2025-W01,baseline expanded to +/-5
NO2,respiratory_disease,1,133,2025-W46,baseline expanded to +/-5
NO2,respiratory_disease,1,134,2025-W47,baseline expanded to +/-4
NO2,respiratory_disease,1,137,2025-W50,baseline expanded to +/-4
NO2,respiratory_disease,1,138,2025-W51,no baseline available even at +/-5
NO2,respiratory_disease,1,139,2025-W52,baseline expanded to +/-5
NO2,respiratory_disease,1,140,2026-W01,baseline expanded to +/-4
NO2,respiratory_disease,2,30,2023-W47,baseline expanded to +/-4
NO2,respiratory_disease,2,31,2023-W48,baseline expanded to +/-5
NO2,respiratory_disease,2,32,2023-W49,baseline expanded to +/-5
NO2,respiratory_disease,2,33,2023-W50,no baseline available even at +/-5
NO2,respiratory_disease,2,34,2023-W51,no baseline available even at +/-5
NO2,respiratory_disease,2,35,2023-W52,no baseline available even at +/-5
NO2,respiratory_disease,2,36,2024-W01,no baseline available even at +/-5
NO2,respiratory_disease,2,37,2024-W02,no baseline available even at +/-5
NO2,respiratory_disease,2,38,2024-W03,baseline expanded to +/-5
NO2,respiratory_disease,2,39,2024-W04,baseline expanded to +/-4
NO2,respiratory_disease,2,40,2024-W05,baseline expanded to +/-4
NO2,respiratory_disease,2,82,2024-W47,baseline expanded to +/-4
NO2,respiratory_disease,2,83,2024-W48,baseline expanded to +/-4
NO2,respiratory_disease,2,84,2024-W49,baseline expanded to +/-4
NO2,respiratory_disease,2,86,2024-W51,baseline expanded to +/-4
NO2,respiratory_disease,2,87,2024-W52,baseline expanded to +/-4
NO2,respiratory_disease,2,88,2025-W01,baseline expanded to +/-5
NO2,respiratory_disease,2,133,2025-W46,baseline expanded to +/-5
NO2,respiratory_disease,2,134,2025-W47,baseline expanded to +/-4
NO2,respiratory_disease,2,137,2025-W50,baseline expanded to +/-4
NO2,respiratory_disease,2,138,2025-W51,no baseline available even at +/-5
NO2,respiratory_disease,2,139,2025-W52,baseline expanded to +/-5
NO2,respiratory_disease,2,140,2026-W01,baseline expanded to +/-4
NO2,ILI,0,30,2023-W47,baseline expanded to +/-4
NO2,ILI,0,31,2023-W48,baseline expanded to +/-5
NO2,ILI,0,32,2023-W49,baseline expanded to +/-5
NO2,ILI,0,33,2023-W50,no baseline available even at +/-5
NO2,ILI,0,34,2023-W51,no baseline available even at +/-5
NO2,ILI,0,35,2023-W52,no baseline available even at +/-5
NO2,ILI,0,36,2024-W01,no baseline available even at +/-5
NO2,ILI,0,37,2024-W02,no baseline available even at +/-5
NO2,ILI,0,38,2024-W03,baseline expanded to +/-5
NO2,ILI,0,39,2024-W04,baseline expanded to +/-4
NO2,ILI,0,40,2024-W05,baseline expanded to +/-4
NO2,ILI,0,82,2024-W47,baseline expanded to +/-4
NO2,ILI,0,83,2024-W48,baseline expanded to +/-4
NO2,ILI,0,84,2024-W49,baseline expanded to +/-4
NO2,ILI,0,86,2024-W51,baseline expanded to +/-4
NO2,ILI,0,87,2024-W52,baseline expanded to +/-4
NO2,ILI,0,88,2025-W01,baseline expanded to +/-5
NO2,ILI,0,133,2025-W46,baseline expanded to +/-5
NO2,ILI,0,134,2025-W47,baseline expanded to +/-4
NO2,ILI,0,137,2025-W50,baseline expanded to +/-4
NO2,ILI,0,138,2025-W51,no baseline available even at +/-5
NO2,ILI,0,139,2025-W52,baseline expanded to +/-5
NO2,ILI,0,140,2026-W01,baseline expanded to +/-4
NO2,ILI,1,30,2023-W47,baseline expanded to +/-4
NO2,ILI,1,31,2023-W48,baseline expanded to +/-5
NO2,ILI,1,32,2023-W49,baseline expanded to +/-5
NO2,ILI,1,33,2023-W50,no baseline available even at +/-5
NO2,ILI,1,34,2023-W51,no baseline available even at +/-5
NO2,ILI,1,35,2023-W52,no baseline available even at +/-5
NO2,ILI,1,36,2024-W01,no baseline available even at +/-5
NO2,ILI,1,37,2024-W02,no baseline available even at +/-5
NO2,ILI,1,38,2024-W03,baseline expanded to +/-5
NO2,ILI,1,39,2024-W04,baseline expanded to +/-4
NO2,ILI,1,40,2024-W05,baseline expanded to +/-4
NO2,ILI,1,82,2024-W47,baseline expanded to +/-4
NO2,ILI,1,83,2024-W48,baseline expanded to +/-4
NO2,ILI,1,84,2024-W49,baseline expanded to +/-4
NO2,ILI,1,86,2024-W51,baseline expanded to +/-4
NO2,ILI,1,87,2024-W52,baseline expanded to +/-4
NO2,ILI,1,88,2025-W01,baseline expanded to +/-5
NO2,ILI,1,133,2025-W46,baseline expanded to +/-5
NO2,ILI,1,134,2025-W47,baseline expanded to +/-4
NO2,ILI,1,137,2025-W50,baseline expanded to +/-4
NO2,ILI,1,138,2025-W51,no baseline available even at +/-5
NO2,ILI,1,139,2025-W52,baseline expanded to +/-5
NO2,ILI,1,140,2026-W01,baseline expanded to +/-4
NO2,ILI,2,30,2023-W47,baseline expanded to +/-4
NO2,ILI,2,31,2023-W48,baseline expanded to +/-5
NO2,ILI,2,32,2023-W49,baseline expanded to +/-5
NO2,ILI,2,33,2023-W50,no baseline available even at +/-5
NO2,ILI,2,34,2023-W51,no baseline available even at +/-5
NO2,ILI,2,35,2023-W52,no baseline available even at +/-5
NO2,ILI,2,36,2024-W01,no baseline available even at +/-5
NO2,ILI,2,37,2024-W02,no baseline available even at +/-5
NO2,ILI,2,38,2024-W03,baseline expanded to +/-5
NO2,ILI,2,39,2024-W04,baseline expanded to +/-4
NO2,ILI,2,40,2024-W05,baseline expanded to +/-4
NO2,ILI,2,82,2024-W47,baseline expanded to +/-4
NO2,ILI,2,83,2024-W48,baseline expanded to +/-4
NO2,ILI,2,84,2024-W49,baseline expanded to +/-4
NO2,ILI,2,86,2024-W51,baseline expanded to +/-4
NO2,ILI,2,87,2024-W52,baseline expanded to +/-4
NO2,ILI,2,88,2025-W01,baseline expanded to +/-5
NO2,ILI,2,133,2025-W46,baseline expanded to +/-5
NO2,ILI,2,134,2025-W47,baseline expanded to +/-4
NO2,ILI,2,137,2025-W50,baseline expanded to +/-4
NO2,ILI,2,138,2025-W51,no baseline available even at +/-5
NO2,ILI,2,139,2025-W52,baseline expanded to +/-5
NO2,ILI,2,140,2026-W01,baseline expanded to +/-4
NO2,pneumonia,0,30,2023-W47,baseline expanded to +/-4
NO2,pneumonia,0,31,2023-W48,baseline expanded to +/-5
NO2,pneumonia,0,32,2023-W49,baseline expanded to +/-5
NO2,pneumonia,0,33,2023-W50,no baseline available even at +/-5
NO2,pneumonia,0,34,2023-W51,no baseline available even at +/-5
NO2,pneumonia,0,35,2023-W52,no baseline available even at +/-5
NO2,pneumonia,0,36,2024-W01,no baseline available even at +/-5
NO2,pneumonia,0,37,2024-W02,no baseline available even at +/-5
NO2,pneumonia,0,38,2024-W03,baseline expanded to +/-5
NO2,pneumonia,0,39,2024-W04,baseline expanded to +/-4
NO2,pneumonia,0,40,2024-W05,baseline expanded to +/-4
NO2,pneumonia,0,82,2024-W47,baseline expanded to +/-4
NO2,pneumonia,0,83,2024-W48,baseline expanded to +/-4
NO2,pneumonia,0,84,2024-W49,baseline expanded to +/-4
NO2,pneumonia,0,86,2024-W51,baseline expanded to +/-4
NO2,pneumonia,0,87,2024-W52,baseline expanded to +/-4
NO2,pneumonia,0,88,2025-W01,baseline expanded to +/-5
NO2,pneumonia,0,133,2025-W46,baseline expanded to +/-5
NO2,pneumonia,0,134,2025-W47,baseline expanded to +/-4
NO2,pneumonia,0,137,2025-W50,baseline expanded to +/-4
NO2,pneumonia,0,138,2025-W51,no baseline available even at +/-5
NO2,pneumonia,0,139,2025-W52,baseline expanded to +/-5
NO2,pneumonia,0,140,2026-W01,baseline expanded to +/-4
NO2,pneumonia,1,30,2023-W47,baseline expanded to +/-4
NO2,pneumonia,1,31,2023-W48,baseline expanded to +/-5
NO2,pneumonia,1,32,2023-W49,baseline expanded to +/-5
NO2,pneumonia,1,33,2023-W50,no baseline available even at +/-5
NO2,pneumonia,1,34,2023-W51,no baseline available even at +/-5
NO2,pneumonia,1,35,2023-W52,no baseline available even at +/-5
NO2,pneumonia,1,36,2024-W01,no baseline available even at +/-5
NO2,pneumonia,1,37,2024-W02,no baseline available even at +/-5
NO2,pneumonia,1,38,2024-W03,baseline expanded to +/-5
NO2,pneumonia,1,39,2024-W04,baseline expanded to +/-4
NO2,pneumonia,1,40,2024-W05,baseline expanded to +/-4
NO2,pneumonia,1,82,2024-W47,baseline expanded to +/-4
NO2,pneumonia,1,83,2024-W48,baseline expanded to +/-4
NO2,pneumonia,1,84,2024-W49,baseline expanded to +/-4
NO2,pneumonia,1,86,2024-W51,baseline expanded to +/-4
NO2,pneumonia,1,87,2024-W52,baseline expanded to +/-4
NO2,pneumonia,1,88,2025-W01,baseline expanded to +/-5
NO2,pneumonia,1,133,2025-W46,baseline expanded to +/-5
NO2,pneumonia,1,134,2025-W47,baseline expanded to +/-4
NO2,pneumonia,1,137,2025-W50,baseline expanded to +/-4
NO2,pneumonia,1,138,2025-W51,no baseline available even at +/-5
NO2,pneumonia,1,139,2025-W52,baseline expanded to +/-5
NO2,pneumonia,1,140,2026-W01,baseline expanded to +/-4
NO2,pneumonia,2,30,2023-W47,baseline expanded to +/-4
NO2,pneumonia,2,31,2023-W48,baseline expanded to +/-5
NO2,pneumonia,2,32,2023-W49,baseline expanded to +/-5
NO2,pneumonia,2,33,2023-W50,no baseline available even at +/-5
NO2,pneumonia,2,34,2023-W51,no baseline available even at +/-5
NO2,pneumonia,2,35,2023-W52,no baseline available even at +/-5
NO2,pneumonia,2,36,2024-W01,no baseline available even at +/-5
NO2,pneumonia,2,37,2024-W02,no baseline available even at +/-5
NO2,pneumonia,2,38,2024-W03,baseline expanded to +/-5
NO2,pneumonia,2,39,2024-W04,baseline expanded to +/-4
NO2,pneumonia,2,40,2024-W05,baseline expanded to +/-4
NO2,pneumonia,2,82,2024-W47,baseline expanded to +/-4
NO2,pneumonia,2,83,2024-W48,baseline expanded to +/-4
NO2,pneumonia,2,84,2024-W49,baseline expanded to +/-4
NO2,pneumonia,2,86,2024-W51,baseline expanded to +/-4
NO2,pneumonia,2,87,2024-W52,baseline expanded to +/-4
NO2,pneumonia,2,88,2025-W01,baseline expanded to +/-5
NO2,pneumonia,2,133,2025-W46,baseline expanded to +/-5
NO2,pneumonia,2,134,2025-W47,baseline expanded to +/-4
NO2,pneumonia,2,137,2025-W50,baseline expanded to +/-4
NO2,pneumonia,2,138,2025-W51,no baseline available even at +/-5
NO2,pneumonia,2,139,2025-W52,baseline expanded to +/-5
NO2,pneumonia,2,140,2026-W01,baseline expanded to +/-4
PM2.5,respiratory_disease,0,31,2023-W48,baseline expanded to +/-4
PM2.5,respiratory_disease,0,35,2023-W52,baseline expanded to +/-4
PM2.5,respiratory_disease,0,36,2024-W01,no baseline available even at +/-5
PM2.5,respiratory_disease,0,37,2024-W02,no baseline available even at +/-5
PM2.5,respiratory_disease,0,38,2024-W03,baseline expanded to +/-5
PM2.5,respiratory_disease,0,39,2024-W04,baseline expanded to +/-4
PM2.5,respiratory_disease,0,40,2024-W05,baseline expanded to +/-4
PM2.5,respiratory_disease,0,82,2024-W47,baseline expanded to +/-4
PM2.5,respiratory_disease,0,86,2024-W51,baseline expanded to +/-4
PM2.5,respiratory_disease,0,90,2025-W03,baseline expanded to +/-4
PM2.5,respiratory_disease,0,91,2025-W04,baseline expanded to +/-5
PM2.5,respiratory_disease,0,138,2025-W51,baseline expanded to +/-4
PM2.5,respiratory_disease,1,31,2023-W48,baseline expanded to +/-4
PM2.5,respiratory_disease,1,35,2023-W52,baseline expanded to +/-4
