pollutant,outcome,year,lag,Rc,Rc_CI_low,Rc_CI_high,Rc_class
PM2.5,pneumonia,2025,1,0.743,0.5247,0.9279,Moderate
PM2.5,pneumonia,2025,2,0.5622,0.2492,0.8124,Very low
PM2.5,pneumonia,2026,0,0.7195,0.0,1.0,Moderate
PM2.5,pneumonia,2026,1,0.8028,0.1858,1.0,High
PM2.5,pneumonia,2026,2,0.5188,0.0,1.0,Negligible
PM2.5,respiratory_disease,2023,0,0.8747,0.6991,0.9891,Very high
PM2.5,respiratory_disease,2023,1,0.803,0.5282,1.0,High
PM2.5,respiratory_disease,2023,2,0.232,0.0493,0.5711,Moderate-high
PM2.5,respiratory_disease,2024,0,0.36,0.145,0.7128,Low
PM2.5,respiratory_disease,2024,1,0.2725,0.0632,0.554,Moderate
PM2.5,respiratory_disease,2024,2,0.3209,0.1007,0.6732,Moderate-low
PM2.5,respiratory_disease,2025,0,0.6902,0.3777,0.8769,Moderate-low
PM2.5,respiratory_disease,2025,1,0.707,0.398,0.901,Moderate
PM2.5,respiratory_disease,2025,2,0.6598,0.3054,0.8883,Moderate-low
PM2.5,respiratory_disease,2026,0,0.5061,0.0,0.9256,Negligible
PM2.5,respiratory_disease,2026,1,0.4087,0.0,1.0,Very low
PM2.5,respiratory_disease,2026,2,0.5271,0.0,1.0,Negligible
