year_week,week_index,year,respiratory_disease_count,respiratory_disease_inc,respiratory_disease_inc_lag0,respiratory_disease_inc_lag1,respiratory_disease_inc_lag2,ILI_count,ILI_inc,ILI_inc_lag0,ILI_inc_lag1,ILI_inc_lag2,pneumonia_count,pneumonia_inc,pneumonia_inc_lag0,pneumonia_inc_lag1,pneumonia_inc_lag2
2023-W18,1,2023,2616,0.0018592169114825122,0.0018592169114825122,0.0016296576368613916,0.001545793877092685,840,0.0005969962559806232,0.0005969962559806232,0.00045840783941369283,0.00045414358044240264,300,0.00021321294856450828,0.00021321294856450828,0.00017057035885160662,0.0001563561622806394
2023-W19,2,2023,2293,0.0016296576368613916,0.0016296576368613916,0.001545793877092685,0.0019331307336515418,645,0.00045840783941369283,0.00045840783941369283,0.00045414358044240264,0.0006119211623801388,240,0.00017057035885160662,0.00017057035885160662,0.0001563561622806394,0.0001691489391945099
2023-W20,3,2023,2175,0.001545793877092685,0.001545793877092685,0.0019331307336515418,0.001811599352969772,639,0.00045414358044240264,0.00045414358044240264,0.0006119211623801388,0.0007213704759765864,220,0.0001563561622806394,0.0001563561622806394,0.0001691489391945099,0.0001876273947367673
2023-W21,4,2023,2720,0.0019331307336515418,0.0019331307336515418,0.001811599352969772,0.0014207089472681735,861,0.0006119211623801388,0.0006119211623801388,0.0007213704759765864,0.0004605399688993379,238,0.0001691489391945099,0.0001691489391945099,0.0001876273947367673,0.00015351332296644596
2023-W22,5,2023,2549,0.001811599352969772,0.001811599352969772,0.0014207089472681735,0.0013077060845289841,1015,0.0007213704759765864,0.0007213704759765864,0.0004605399688993379,0.00047262203598466004,264,0.0001876273947367673,0.0001876273947367673,0.00015351332296644596,0.00014143125588112382
2023-W23,6,2023,1999,0.0014207089472681735,0.0014207089472681735,0.0013077060845289841,0.0011861747038472144,648,0.0004605399688993379,0.0004605399688993379,0.00047262203598466004,0.00047048990649901495,216,0.00015351332296644596,0.00015351332296644596,0.00014143125588112382,0.00012508492982451152
2023-W24,7,2023,1840,0.0013077060845289841,0.0013077060845289841,0.0011861747038472144,0.0012131816773320522,665,0.00047262203598466004,0.00047262203598466004,0.00047048990649901495,0.00046125067872788625,199,0.00014143125588112382,0.00014143125588112382,0.00012508492982451152,0.000145695514852414
2023-W25,8,2023,1669,0.0011861747038472144,0.0011861747038472144,0.0012131816773320522,0.0011385571453344742,662,0.00047048990649901495,0.00047048990649901495,0.00046125067872788625,0.00044916861164256413,176,0.00012508492982451152,0.00012508492982451152,0.000145695514852414,0.00011726712171047956
2023-W26,9,2023,1707,0.0012131816773320522,0.0012131816773320522,0.0011385571453344742,0.0011513499222483448,649,0.00046125067872788625,0.00046125067872788625,0.00044916861164256413,0.00042997944627175836,205,0.000145695514852414,0.000145695514852414,0.00011726712171047956,0.00013005989862435006
2023-W27,10,2023,1602,0.0011385571453344742,0.0011385571453344742,0.0011513499222483448,0.0011023109440785079,632,0.00044916861164256413,0.00044916861164256413,0.00042997944627175836,0.00040510460227256574,165,0.00011726712171047956,0.00011726712171047956,0.00013005989862435006,0.000120109961024673
2023-W28,11,2023,1620,0.0011513499222483448,0.0011513499222483448,0.0011023109440785079,0.0011072859128783464,605,0.00042997944627175836,0.00042997944627175836,0.00040510460227256574,0.0003894689860445018,183,0.00013005989862435006,0.00013005989862435006,0.000120109961024673,0.00011300286273918939
2023-W29,12,2023,1551,0.0011023109440785079,0.0011023109440785079,0.0011072859128783464,0.0010326613808807684,570,0.00040510460227256574,0.00040510460227256574,0.0003894689860445018,0.0003837833074161149,169,0.000120109961024673,0.000120109961024673,0.00011300286273918939,0.00010234221531096398
2023-W30,13,2023,1558,0.0011072859128783464,0.0011072859128783464,0.0010326613808807684,0.0009573261390546422,548,0.0003894689860445018,0.0003894689860445018,0.0003837833074161149,0.0003589084634169223,159,0.00011300286273918939,0.00011300286273918939,0.00010234221531096398,0.00013787770673838202
2023-W31,14,2023,1453,0.0010326613808807684,0.0010326613808807684,0.0009573261390546422,0.0010625111936797996,540,0.0003837833074161149,0.0003837833074161149,0.0003589084634169223,0.00042002950867208133,144,0.00010234221531096398,0.00010234221531096398,0.00013787770673838202,0.000145695514852414
2023-W32,15,2023,1347,0.0009573261390546422,0.0009573261390546422,0.0010625111936797996,0.0011939925119612465,505,0.0003589084634169223,0.0003589084634169223,0.00042002950867208133,0.00047191132615611166,194,0.00013787770673838202,0.00013787770673838202,0.000145695514852414,0.0001876273947367673
2023-W33,16,2023,1495,0.0010625111936797996,0.0010625111936797996,0.0011939925119612465,0.0011541927615625381,591,0.00042002950867208133,0.00042002950867208133,0.00047191132615611166,0.0003674369813595026,205,0.000145695514852414,0.000145695514852414,0.0001876273947367673,0.0001385884165669304
2023-W34,17,2023,1680,0.0011939925119612465,0.0011939925119612465,0.0011541927615625381,0.001301309696072049,664,0.00047191132615611166,0.00047191132615611166,0.0003674369813595026,0.00045201145095675755,264,0.0001876273947367673,0.0001876273947367673,0.0001385884165669304,0.0001549347426235427
2023-W35,18,2023,1624,0.0011541927615625381,0.0011541927615625381,0.001301309696072049,0.0014754336040663973,517,0.0003674369813595026,0.0003674369813595026,0.00045201145095675755,0.00044490435267127395,195,0.0001385884165669304,0.0001385884165669304,0.0001549347426235427,0.00016275255073757466
2023-W36,19,2023,1831,0.001301309696072049,0.001301309696072049,0.0014754336040663973,0.0017213392047441302,636,0.00045201145095675755,0.00045201145095675755,0.00044490435267127395,0.0004697791966704666,218,0.0001549347426235427,0.0001549347426235427,0.00016275255073757466,0.00016772751953741317
2023-W37,20,2023,2076,0.0014754336040663973,0.0014754336040663973,0.0017213392047441302,0.0017668246337712253,626,0.00044490435267127395,0.00044490435267127395,0.0004697791966704666,0.00048115055392724035,229,0.00016275255073757466,0.00016275255073757466,0.00016772751953741317,0.00018336313576547712
2023-W38,21,2023,2422,0.0017213392047441302,0.0017213392047441302,0.0017668246337712253,0.0019267343451946067,661,0.0004697791966704666,0.0004697791966704666,0.00048115055392724035,0.000513843206040465,236,0.00016772751953741317,0.00016772751953741317,0.00018336313576547712,0.0002004201716506378
2023-W39,22,2023,2486,0.0017668246337712253,0.0017668246337712253,0.0019267343451946067,0.0018222600003979974,677,0.00048115055392724035,0.00048115055392724035,0.000513843206040465,0.0004967861701553043,258,0.00018336313576547712,0.00018336313576547712,0.0002004201716506378,0.00019615591267934762
2023-W40,23,2023,2711,0.0019267343451946067,0.0019267343451946067,0.0018222600003979974,0.0016502682218892941,723,0.000513843206040465,0.000513843206040465,0.0004967861701553043,0.00047830771461304693,282,0.0002004201716506378,0.0002004201716506378,0.00019615591267934762,0.00018123100627983206
2023-W41,24,2023,2564,0.0018222600003979974,0.0018222600003979974,0.0016502682218892941,0.0017526104372002581,699,0.0004967861701553043,0.0004967861701553043,0.00047830771461304693,0.0005124217863833682,276,0.00019615591267934762,0.00019615591267934762,0.00018123100627983206,0.0002039737207933796
2023-W42,25,2023,2322,0.0016502682218892941,0.0016502682218892941,0.0017526104372002581,0.0017710888927425154,673,0.00047830771461304693,0.00047830771461304693,0.0005124217863833682,0.000513843206040465,255,0.00018123100627983206,0.00018123100627983206,0.0002039737207933796,0.00021037010925031486
2023-W43,26,2023,2466,0.0017526104372002581,0.0017526104372002581,0.0017710888927425154,0.0018386063264546099,721,0.0005124217863833682,0.0005124217863833682,0.000513843206040465,0.0005280574026114322,287,0.0002039737207933796,0.0002039737207933796,0.00021037010925031486,0.00021534507805015337
2023-W44,27,2023,2492,0.0017710888927425154,0.0017710888927425154,0.0018386063264546099,0.0020468443062192795,723,0.000513843206040465,0.000513843206040465,0.0005280574026114322,0.0006652243995212659,296,0.00021037010925031486,0.00021037010925031486,0.00021534507805015337,0.0002473270203348296
2023-W45,28,2023,2587,0.0018386063264546099,0.0018386063264546099,0.0020468443062192795,0.002319046170553302,743,0.0005280574026114322,0.0005280574026114322,0.0006652243995212659,0.0007227918956336831,303,0.00021534507805015337,0.00021534507805015337,0.0002473270203348296,0.0002821518019336993
2023-W46,29,2023,2880,0.0020468443062192795,0.0020468443062192795,0.002319046170553302,0.0024953022080332955,936,0.0006652243995212659,0.0006652243995212659,0.0007227918956336831,0.0008898087053425479,348,0.0002473270203348296,0.0002473270203348296,0.0002821518019336993,0.0003134230343898272
