row,week_index,year_week,cooks
87,87,2024-W52,0.34359050947139846
39,39,2024-W04,0.19143939118956158
34,34,2023-W51,0.12376280748620862
5,5,2023-W22,0.11603144506105185
37,37,2024-W02,0.09711895092857395
32,32,2023-W49,0.07258579159425095
136,137,2025-W50,0.047734159884929246
38,38,2024-W03,0.04339813764577406
33,33,2023-W50,0.034303045666410056
138,139,2025-W52,0.02805398417982277
