pollutant,year,lag,Rc,CI,class
NO2,2023,0,0.914,"[0.72, 1.00]",Critical
NO2,2023,1,0.968,"[0.85, 1.00]",Critical
NO2,2023,2,0.952,"[0.78, 1.00]",Critical
PM10,2023,0,0.887,"[0.72, 1.00]",Very high
PM2.5,2023,0,0.875,"[0.70, 0.99]",Very high
PM2.5,2023,1,0.803,"[0.53, 1.00]",High
NO2,2024,1,0.769,"[0.59, 0.93]",Moderate-high
NO2,2025,1,0.798,"[0.61, 0.94]",Moderate-high
